,product_name,product_price,productDesc,product_img,product_buy
0,Nike,Rs. 3695,Men Revolution 6 Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25055732/2023/9/30/cf35596e-1461-4378-af6f-5ffdcb27c4291696095927432NikeMenTexturedRoadRunningSportsShoes1.jpg",https://www.myntra.com/sports-shoes/nike/nike-men-revolution-6-textured-road-running-sports-shoes/25055732/buy
1,Nike,Rs. 3695,Men Revolution 6 Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25503816/2023/10/16/7eed51fd-564e-42fd-8a9e-6f6e93809fc61697471889347NikeMenRevolutionRoadRunningShoes1.jpg",https://www.myntra.com/sports-shoes/nike/nike-men-revolution-6-running-shoes/25503816/buy
2,Nike,Rs. 3695,Men Revolution 6 Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25503812/2023/10/16/7b204e7d-c4e3-4353-847c-483049ca67861697471889312NikeMenRevolutionRunningShoes1.jpg",https://www.myntra.com/sports-shoes/nike/nike-men-revolution-6-running-shoes/25503812/buy
3,Nike,Rs. 4995,Men Flex 10 Road Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23315076/2023/5/20/814e5dfa-462c-42ff-8594-287f4adf91301684598865486NikeFlexExperienceRun10MensRoadRunningShoes1.jpg",https://www.myntra.com/sports-shoes/nike/nike-men-flex-experience-run-10-road--shoes/23315076/buy
4,Nike,not mentioned ,Women Court Tennis Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23719844/2024/1/3/dbaf6ca7-0646-402f-8ab1-10644f0a65a01704281523866NikeWomenCourtRoyale2NextNatureTennisShoes1.jpg",https://www.myntra.com/sports-shoes/nike/nike-women-court-royale-2-next-nature-tennis-shoes/23719844/buy
5,Nike,Rs. 4995,Men Flex Road Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23719694/2024/1/3/0a32402f-ed02-43ca-bb3a-e5a4ba84089e1704281548526NikeMenFlexExperience11RoadRunningShoes1.jpg",https://www.myntra.com/sports-shoes/nike/nike-men-flex-experience-11-road-running-shoes/23719694/buy
6,Nike,Rs. 4995,Women FE RN10 Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18800710/2023/3/15/695f83be-60ab-4d7d-8b3f-411cc02920a41678861432715-Nike-Women-Black-Solid-Flex-Experience-RN-10-Running-Shoes-5-1.jpg",https://www.myntra.com/sports-shoes/nike/nike-women-black-solid-flex-experience-rn-10-running-shoes/18800710/buy
7,Nike,Rs. 3995,Women DOWNSHIFTER 11 Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14528424/2023/12/13/d4a29a3d-439f-4dd1-97af-9da9a9d390c11702451325648NikeWomenCream-ColouredDOWNSHIFTER11RunningShoes2.jpg",https://www.myntra.com/sports-shoes/nike/nike-women-cream-coloured-downshifter-11-running-shoes/14528424/buy
8,Nike,Rs. 3695,Women REVOLUTION 5 Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11979652/2023/12/26/5dd9ebeb-6e6f-4791-9ebb-48c80bc9d2c71703589445378NikeWomenWhiteREVOLUTION5RunningShoes1.jpg",https://www.myntra.com/sports-shoes/nike/nike-women-white-revolution-5-running-shoes/11979652/buy
9,Nike,Rs. 3695,Women REVOLUTION Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13762840/2023/12/13/9bdc9e64-8f63-4f72-b6cb-a7d9fe3854ba1702451307653NikeWomenBlackREVOLUTION5RunningShoes2.jpg",https://www.myntra.com/sports-shoes/nike/nike-women-black-revolution-5-running-shoes/13762840/buy
